gene	LM_slope	Padj	LMM_intercept	LMM_slope	Zrobust
asnB.Rv2201	-0.00892317837050599	1.12754472547678e-07	0.00785577504044156	-0.00876009614211808	-15.3196425009525
thyA.Rv2764c	-0.00831387385593819	3.88521846499766e-09	0.00688360178438153	-0.00816146341715274	-14.2837068786108
dapB.Rv2773c	-0.00473972353671543	6.08164238763777e-06	0.00438705207197364	-0.00465332736737969	-8.21286753017464
gyrA.Rv0006	-0.00263235015694762	3.10134641863066e-11	-0.00725522334582612	-0.00257404723699693	-4.61466738831706
iscS.Rv3025c	-0.00237218237791416	0.00582291652461663	0.0151003975679879	-0.00234268352934161	-4.21429183836516
embC.Rv3793	-0.00236663887313037	7.2107391873708e-07	-0.00186468847546546	-0.00231918134093373	-4.17362123490605
kasB.Rv2246	-0.00233216128886623	0.000899829469995859	0.00681560748801345	-0.00229460937297983	-4.13109937491926
dnaN.Rv0002	-0.00209340670343768	4.61526128984063e-10	-0.0034684136582817	-0.00204949125705584	-3.70692178258725
Rv1836c.Rv1836c	-0.0020347786729325	1.01838212797798e-06	0.00527365956614926	-0.00200129864591191	-3.62352433280608
nrdF2.Rv3048c	-0.0017100021456742	9.16839126839894e-09	-0.00231952098217459	-0.00167467671872622	-3.05830416474868
moxR1.Rv1479	-0.00161174751555306	1.12259853283395e-06	-0.00440928154584892	-0.00157608465310074	-2.88769031655387
nrdH.Rv3053c	-0.00153849225946223	1.60400808544441e-08	-0.00240448566977434	-0.00150637170049275	-2.76705185505075
rpoB.Rv0667	-0.00140886877370339	1.05944169225005e-07	0.00242936321973138	-0.0013843860656456	-2.55595536920552
proB.Rv2439c	-0.00138404952181837	1.60400808544441e-08	-0.00316859189469621	-0.00135408272669562	-2.50351535551266
Rv2507.Rv2507	-0.00136566773312392	1.05944169225005e-07	-0.00136134303546044	-0.00133797856122165	-2.47564705164814
murA.Rv1315	-0.00135313997273722	1.34379731861637e-07	-0.00394249660344557	-0.0013229429759914	-2.44962792891529
manB.Rv3264c	-0.00110185251253395	3.83519040090946e-07	-0.00331278190608665	-0.00107715423051719	-2.02428981025136
dnaE1.Rv1547	-0.00108604275195691	3.1415248576312e-07	-0.00517105737362646	-0.00105966945798369	-1.99403236196862
dapE.Rv1202	-0.000999859528111832	3.38867207001364e-06	-0.00384729327967812	-0.000976551738316764	-1.85019691318696
murG.Rv2153c	-0.000890588920658319	3.7718706943105e-06	-0.000188623466131964	-0.000873276543241316	-1.67147889624403
Rv3267.Rv3267	-0.000799501777098953	2.61785647591811e-06	-0.00140107563699185	-0.000782648447990764	-1.5146467212899
Rv2017.Rv2017	-0.00079688810494996	7.2107391873708e-07	-0.00476952542120524	-0.000776498115716556	-1.504003553908
Rv3644c.Rv3644c	-0.00078414552270638	6.35061655250347e-07	-0.00511201143883091	-0.000763635671146038	-1.48174505722831
glcB.Rv1837c	-0.000731076044809477	0.000112975227870637	-0.00339204619700664	-0.000713417352313586	-1.39484211456733
tpi.Rv1438	-0.000689199651364822	6.35046473059322e-07	-0.00443628093278878	-0.000671233611375057	-1.32184303165821
fba.Rv0363c	-0.000683561568781354	6.77190880664431e-06	-0.00251814022719493	-0.000667746380742146	-1.31580836919273
pstP.Rv0018c	-0.000626811189611683	1.38744209777787e-06	0.00136059893969981	-0.000616216645054347	-1.22663601595739
secY.Rv0732	-0.000629967636698154	4.34023881513055e-06	-0.00499030910985757	-0.00061254970942263	-1.22029037348361
mprB.Rv0982	-0.000562000625044172	2.17227024021554e-05	-0.00278044026297651	-0.000548241765447989	-1.10900529469554
prfA.Rv1299	-0.000556881860093072	8.98762754926678e-07	-0.00309212363423807	-0.00054288945636815	-1.09974310870678
gyrB.Rv0005	-0.000541006867704768	0.00107473604829695	-0.00254537667604944	-0.000527901682594101	-1.07380672383401
infB.Rv2839c	-0.000541898608804048	1.80405201571066e-06	-0.00353544672263797	-0.000527722018433229	-1.07349581449587
murD.Rv2155c	-0.000543081095186336	6.13636223632709e-06	-0.00521770721504448	-0.000527090437400363	-1.07240286173359
atpF.Rv1306	-0.000513785296598258	2.97216024684813e-07	-0.00401424468547339	-0.000499639021583555	-1.02489810908247
folB.Rv3607c	-0.000474893048630941	2.07617036383635e-06	-0.00351471590838393	-0.0004620259591757	-0.959808598287823
metA.Rv3341	-0.000456056419873135	0.00124586552467784	0.00107031590031189	-0.000448433602384906	-0.936286986448147
Rv2747.Rv2747	-0.000453856342186461	3.41783702545467e-07	-0.00217342185816368	-0.000442821716921628	-0.926575602794258
dxr.Rv2870c	-0.000422827619368063	3.38867207001364e-06	-0.00516311399513548	-0.000409205611054344	-0.868402836588824
mshC.Rv2130c	-0.000412636660226286	0.0429734618674486	0.00229670436449961	-0.0004071540118631	-0.864852538390375
ndhA.Rv0392c	-0.000391505092156679	9.38387706756525e-05	-0.00334121273564773	-0.000380424949279794	-0.81859782005126
pyrB.Rv1380	-0.00038785141919614	1.05944169225005e-07	-0.00532300832383567	-0.000374731170907539	-0.80874472048695
proC.Rv0500	-0.000356918151974489	1.33602625498499e-06	-0.0050474110074125	-0.000344685715249295	-0.756750974559235
ppm1.Rv2051c	-0.000323638535303428	1.49682888086055e-06	-0.00481591764552366	-0.000312292028337535	-0.700693607810999
canB.Rv3588c	-0.000319405708160101	1.49502274173372e-06	-0.00544205783197622	-0.000307473786994209	-0.692355627549596
fum.Rv1098c	-0.000300228500481978	3.70921826013305e-05	-0.00437131117396994	-0.000289805224461452	-0.661780130153734
dnaK.Rv0350	-0.000299102804440726	0.000175003550082571	-0.00391751627982063	-0.000289184378659657	-0.660705754739162
eno.Rv1023	-0.000225345424058308	0.000710995480379694	-0.00459817352577102	-0.000216119356852958	-0.534266528014433
serC.Rv0884c	-0.000186969872227855	0.000236985124541068	-0.00384053727946713	-0.000179287907497434	-0.470529600815753
gatB.Rv3009c	-0.000166420211000088	0.00142095129445953	-0.00397976460243897	-0.000158984826040328	-0.435395060975922
trmD.Rv2906c	-0.000163457696623661	0.00218632552094513	-0.00205113444685873	-0.000158132925650108	-0.4339208449431
Rv2190c.Rv2190c	-0.000154503133217772	0.0566980155826058	-0.0016338457712591	-0.000149794760636342	-0.419491626822382
topA.Rv3646c	-0.000151987476851639	0.00519870179090886	-0.000454808534036172	-0.000148582931833204	-0.417394553653816
murC.Rv2152c	-0.000153828633844919	0.00271875725067019	-0.00583531883325301	-0.000144659301363061	-0.410604700036707
Rv1797.Rv1797	-0.000143035570220981	0.00120213817798683	-0.00109927973782764	-0.000139116762354792	-0.401013320619189
aroG.Rv2178c	-0.000145896713357124	0.000599378990579647	-0.00563244039693306	-0.000137095816725694	-0.397516068496664
proS.Rv2845c	-0.000142784350458891	0.000880053529508267	-0.00542846548170722	-0.000134260455647822	-0.392609468138424
manA.Rv3255c	-0.00013073264596474	0.137228583658415	-0.00156805508575972	-0.000126551049687162	-0.379268319336036
gcvH.Rv1826	-0.000108960362763875	0.0015942788232597	-0.00416786426514762	-0.000102428697935226	-0.337524521457404
lysA.Rv1293	-0.000100848765444376	0.0015942788232597	-0.00575413321521424	-9.27838232437008e-05	-0.320834038546447
kasA.Rv2245	-8.67657891508785e-05	0.0119680853508874	-0.00436239889295313	-8.04534152394877e-05	-0.299496232648329
trpS.Rv3336c	-6.84503790799658e-05	0.143481291367201	-0.00415948106947736	-6.27059883799342e-05	-0.268784260312068
alaS.Rv2555c	-6.62296923772865e-05	0.00614482703192288	-0.00592809267765702	-5.86446712690769e-05	-0.261756139574087
argG.Rv1658	-6.28426596002502e-05	0.0118882181869565	-0.00595909709497172	-5.52897010646242e-05	-0.255950354153838
