ConcLabl	logConc	gene	Abund
1xMIC	0	dnaN.Rv0002	0.00396627412312425
0.5xMIC	-1	dnaN.Rv0002	0.00436008590019982
0.25xMIC	-2	dnaN.Rv0002	0.00809877584621092
0.125xMIC	-3	dnaN.Rv0002	0.00934038298335704
0.000xMIC	-4	dnaN.Rv0002	0.0119102235740786
1xMIC	0	dnaN.Rv0002	0.00100208446678946
0.5xMIC	-1	dnaN.Rv0002	0.00611112662854574
0.25xMIC	-2	dnaN.Rv0002	0.00678195870032596
0.125xMIC	-3	dnaN.Rv0002	0.00962190033829833
1xMIC	0	dnaN.Rv0002	0.00122338140079287
0.5xMIC	-1	dnaN.Rv0002	0.00582831929608944
0.25xMIC	-2	dnaN.Rv0002	0.00867545423014728
0.125xMIC	-3	dnaN.Rv0002	0.00750948677809007
0.000xMIC	-4	dnaN.Rv0002	0.0101559212449017
1xMIC	0	dnaN.Rv0002	0.00143618644997202
0.5xMIC	-1	dnaN.Rv0002	0.00640338966233833
0.25xMIC	-2	dnaN.Rv0002	0.00739268329024346
0.125xMIC	-3	dnaN.Rv0002	0.00995622367225572
0.000xMIC	-4	dnaN.Rv0002	0.0107808869875636
1xMIC	0	dnaN.Rv0002	0.00119962477901649
0.5xMIC	-1	dnaN.Rv0002	0.0050939115201918
0.25xMIC	-2	dnaN.Rv0002	0.00982107136452053
0.125xMIC	-3	dnaN.Rv0002	0.00787199801210211
0.000xMIC	-4	dnaN.Rv0002	0.011123234589303
1xMIC	0	dnaN.Rv0002	0.0012693046939611
0.5xMIC	-1	dnaN.Rv0002	0.00605203368515725
0.25xMIC	-2	dnaN.Rv0002	0.008403386268809
0.125xMIC	-3	dnaN.Rv0002	0.00735222463067681
0.000xMIC	-4	dnaN.Rv0002	0.00888134732370629
1xMIC	0	gyrB.Rv0005	0.00398029704987143
0.5xMIC	-1	gyrB.Rv0005	0.00350275557667703
0.25xMIC	-2	gyrB.Rv0005	0.00350756393904131
0.125xMIC	-3	gyrB.Rv0005	0.00791962154510399
0.000xMIC	-4	gyrB.Rv0005	0.00807922809324437
1xMIC	0	gyrB.Rv0005	0.00375925064074412
0.5xMIC	-1	gyrB.Rv0005	0.00436314174786796
0.25xMIC	-2	gyrB.Rv0005	0.0034137357826479
0.125xMIC	-3	gyrB.Rv0005	0.00494076533831131
1xMIC	0	gyrB.Rv0005	0.00423632850118846
0.5xMIC	-1	gyrB.Rv0005	0.00349647648094168
0.25xMIC	-2	gyrB.Rv0005	0.00361852625383436
0.125xMIC	-3	gyrB.Rv0005	0.00439497368328286
0.000xMIC	-4	gyrB.Rv0005	0.00562046679527977
1xMIC	0	gyrB.Rv0005	0.00459635546732292
0.5xMIC	-1	gyrB.Rv0005	0.00437672142774459
0.25xMIC	-2	gyrB.Rv0005	0.00486459846186342
0.125xMIC	-3	gyrB.Rv0005	0.00668043280746675
0.000xMIC	-4	gyrB.Rv0005	0.00649048117977877
1xMIC	0	gyrB.Rv0005	0.0043411985424108
0.5xMIC	-1	gyrB.Rv0005	0.00413033318685348
0.25xMIC	-2	gyrB.Rv0005	0.0062121483852277
0.125xMIC	-3	gyrB.Rv0005	0.00494644905914579
0.000xMIC	-4	gyrB.Rv0005	0.00674042726762861
